algorithm,time,1,1,1,1
round_robin,1000,8.290068829891839,8.240904621435595,8.271386430678467,8.36479842674533
round_robin,1000,8.25540275049116,8.386051080550098,8.111001964636543,8.162082514734774
round_robin,1000,7.988223748773307,7.864573110893033,8.090284592737978,7.980372914622179
round_robin,1000,8.39271653543307,8.124015748031496,8.021653543307087,8.023622047244094
round_robin,1000,8.007897334649556,8.123395853899309,7.868706811451135,8.28923988153998
round_robin,1000,8.2080078125,8.32421875,8.1240234375,8.185546875
round_robin,1000,8.31854043392505,8.035502958579881,8.164694280078896,8.050295857988166
round_robin,1000,7.998041136141039,7.826640548481881,8.338883447600391,8.21743388834476
round_robin,1000,8.048323471400394,8.18145956607495,8.166666666666666,7.7554240631163704
round_robin,1000,8.097536945812807,8.188177339901477,8.044334975369457,8.367487684729063
round_robin,1000,8.097058823529412,8.027450980392157,7.9941176470588236,8.036274509803922
round_robin,1000,8.393700787401574,8.263779527559056,8.096456692913385,8.410433070866143
round_robin,1000,8.076470588235294,8.074509803921568,8.074509803921568,8.336274509803921
round_robin,1000,7.978410206084397,8.124631992149165,7.762512266928361,8.10206084396467
round_robin,1000,8.171259842519685,8.174212598425196,8.178149606299213,8.132874015748031
round_robin,1000,7.805882352941176,8.263725490196078,7.920588235294118,8.194117647058823
round_robin,1000,8.201970443349754,8.216748768472906,8.267980295566502,8.402955665024631
round_robin,1000,8.219941348973608,8.214076246334312,8.177908113391984,8.179863147605083
round_robin,1000,8.162721893491124,8.124260355029586,8.052268244575936,8.15483234714004
round_robin,1000,8.124260355029586,8.264299802761341,8.195266272189349,8.265285996055226
round_robin,1000,8.209645669291339,7.846456692913386,7.960629921259843,7.910433070866142
round_robin,1000,8.281342546890425,8.001974333662389,8.05923000987167,8.189536031589338
round_robin,1000,7.998035363457761,8.037328094302554,8.165029469548134,8.24361493123772
round_robin,1000,7.992133726647001,8.169124877089478,8.28220255653884,8.262536873156343
round_robin,1000,8.281372549019608,8.402941176470588,8.209803921568627,7.970588235294118
round_robin,1000,8.355665024630541,8.434482758620689,8.26206896551724,8.196059113300493
round_robin,1000,8.29203539823009,8.263520157325466,8.089478859390363,8.262536873156343
round_robin,1000,8.499506416584403,8.267522211253702,8.27147087857848,8.243830207305034
round_robin,1000,8.12156862745098,8.15,8.038235294117648,8.366666666666667
round_robin,1000,8.209803921568627,8.430392156862744,8.207843137254901,8.096078431372549
round_robin,1000,8.041216879293424,8.226692836113838,8.23846908734053,8.25711481844946
round_robin,1000,8.528487229862476,7.982318271119843,8.097249508840864,8.06777996070727
round_robin,1000,8.49558390578999,8.251226692836115,8.212953876349362,8.446516192345436
round_robin,1000,8.130049261083744,8.134975369458129,8.281773399014778,7.991133004926108
round_robin,1000,8.168792934249264,8.087340529931305,8.255152109911679,8.323846908734053
round_robin,1000,8.177625122669284,8.042198233562315,8.142296368989205,8.213935230618253
round_robin,1000,8.238142292490119,8.078063241106719,7.871541501976284,8.100790513833992
round_robin,1000,8.497546614327772,8.277723258096172,8.114818449460255,8.254170755642788
round_robin,1000,8.261040235525025,8.111874386653582,7.956820412168793,7.886162904808636
round_robin,1000,8.077679449360865,8.271386430678467,8.052114060963618,8.391347099311702
round_robin,1000,8.0549558390579,8.331697742885181,8.215897939156035,8.333660451422963
round_robin,1000,8.187438665358194,8.253189401373897,8.166830225711482,8.279685966633956
round_robin,1000,8.19234543670265,8.314033366045143,8.390578999018645,8.116781157998037
round_robin,1000,8.291052114060964,8.421828908554572,8.531956735496559,8.438544739429695
round_robin,1000,8.201183431952662,8.14595660749507,8.086785009861932,8.057199211045365
round_robin,1000,8.057199211045365,8.150887573964496,7.767258382642998,7.905325443786983
round_robin,1000,8.4498031496063,8.182086614173228,8.049212598425196,8.090551181102363
round_robin,1000,8.41576354679803,8.088669950738916,8.24334975369458,8.269950738916256
round_robin,1000,8.481737413622902,8.38400789733465,8.464955577492596,8.067127344521223
round_robin,1000,7.8055009823182715,7.822200392927308,8.222003929273084,7.980353634577603
round_robin,1000,8.04505386875612,8.224289911851127,8.34769833496572,8.257590597453477
round_robin,1000,8.075098814229248,8.213438735177865,8.596837944664031,8.24901185770751
round_robin,1000,8.144117647058824,8.336274509803921,8.066666666666666,8.483333333333333
round_robin,1000,8.34088669950739,8.352709359605912,8.048275862068966,7.927093596059113
round_robin,1000,8.056102362204724,8.145669291338583,7.910433070866142,7.998031496062992
round_robin,1000,8.039447731755423,7.881656804733728,8.020710059171599,8.179487179487179
round_robin,1000,8.076545632973504,8.359175662414131,8.125613346418056,8.088321884200196
round_robin,1000,8.354901960784314,7.991176470588235,8.10686274509804,8.39313725490196
round_robin,1000,8.25540275049116,8.147347740667977,8.033398821218075,8.218074656188605
round_robin,1000,8.271653543307087,8.135826771653543,8.083661417322835,8.39763779527559
round_robin,1000,8.041257367387033,7.9636542239685655,8.096267190569744,8.229862475442044
round_robin,1000,8.067514677103718,8.223091976516635,8.154598825831702,8.13013698630137
round_robin,1000,8.31858407079646,8.00589970501475,8.151425762045232,8.110127826941985
round_robin,1000,8.395669291338583,8.388779527559056,8.182086614173228,7.998031496062992
round_robin,1000,7.895098039215687,8.239215686274509,8.249019607843136,8.124509803921569
round_robin,1000,8.209028459273798,7.882237487733072,8.20117762512267,8.216879293424926
round_robin,1000,8.13307240704501,8.317025440313111,8.047945205479452,8.045009784735813
round_robin,1000,8.248289345063538,8.50733137829912,8.258064516129032,7.986314760508309
round_robin,1000,8.158153241650295,8.104125736738704,7.9253438113948915,8.169941060903733
round_robin,1000,8.341559723593287,8.195459032576505,8.371174728529121,8.420533070088846
round_robin,1000,8.332347140039447,8.18836291913215,8.210059171597633,8.229783037475345
round_robin,1000,8.08259587020649,8.173058013765978,8.344149459193707,8.051130776794494
round_robin,1000,8.36702649656526,8.157998037291462,8.0,8.21197252208047
round_robin,1000,8.048180924287118,8.211406096361848,8.36479842674533,8.31465093411996
round_robin,1000,8.236738703339881,8.100196463654225,7.911591355599215,8.18369351669941
round_robin,1000,8.50196463654224,8.162082514734774,8.321218074656189,8.05893909626719
round_robin,1000,8.149357072205737,8.534124629080118,8.202769535113749,8.137487636003957
round_robin,1000,8.356650246305419,8.390147783251232,8.169458128078817,8.213793103448277
round_robin,1000,8.192948090107738,8.16258570029383,8.137120470127327,8.239960822722821
round_robin,1000,8.234774066797643,7.956777996070727,8.070726915520629,8.141453831041257
round_robin,1000,8.178431372549019,8.314705882352941,8.123529411764705,8.130392156862746
round_robin,1000,8.019665683382497,8.173058013765978,8.162241887905605,8.260570304818092
round_robin,1000,8.329411764705883,8.013725490196078,8.383333333333333,8.195098039215686
round_robin,1000,8.205882352941176,8.059803921568628,8.446078431372548,8.17156862745098
round_robin,1000,8.12770137524558,8.240667976424362,8.156188605108055,8.330058939096267
round_robin,1000,8.228571428571428,8.239408866995074,8.15665024630542,8.360591133004926
round_robin,1000,8.470530451866404,8.380157170923379,8.228880157170924,8.333988212180747
round_robin,1000,8.213163064833006,8.114931237721022,8.43713163064833,8.171905697445972
round_robin,1000,8.010784313725491,8.088235294117647,7.942156862745098,8.004901960784315
round_robin,1000,8.327111984282908,8.486247544204323,8.285854616895874,8.270137524557956
round_robin,1000,8.034347399411187,8.11874386653582,8.065750736015701,8.510304219823356
round_robin,1000,8.106194690265486,8.27236971484759,8.165191740412979,8.464110127826942
round_robin,1000,8.182890855457227,8.44149459193707,8.254670599803344,8.323500491642084
round_robin,1000,8.06060606060606,7.956011730205279,8.01564027370479,8.075268817204302
round_robin,1000,8.14749262536873,8.183874139626353,8.049164208456244,8.247787610619469
round_robin,1000,8.126223091976517,7.966731898238748,8.052837573385519,7.863013698630137
round_robin,1000,8.164208456243854,8.026548672566372,8.164208456243854,8.205506391347098
round_robin,1000,8.050295857988166,8.033530571992111,8.152859960552268,7.982248520710059
round_robin,1000,8.29203539823009,8.359882005899705,8.238938053097344,8.270403146509341
round_robin,1000,8.277559055118111,8.228346456692913,8.56496062992126,8.210629921259843
round_robin,1000,8.034146341463414,8.179512195121951,8.170731707317072,8.110243902439024
round_robin,1000,8.028571428571428,8.219704433497537,8.186206896551724,8.081773399014779
round_robin,1000,8.278381046396841,8.28232971372162,8.374136229022705,8.067127344521223
round_robin,1000,8.2333984375,8.0439453125,8.1962890625,7.9609375
round_robin,1000,7.9559686888454015,8.065557729941291,8.017612524461839,8.554794520547945
round_robin,1000,8.387795275590552,8.191929133858268,8.501968503937007,8.100393700787402
round_robin,1000,8.340216322517207,8.112094395280236,8.279252704031466,8.062930186823992
round_robin,1000,8.271386430678467,8.11701081612586,8.256637168141593,8.317600786627334
round_robin,1000,8.264243614931237,7.928290766208251,7.814341846758349,8.302554027504911
round_robin,1000,8.12573673870334,7.977406679764243,8.089390962671906,8.303536345776031
round_robin,1000,7.984313725490196,8.358823529411765,8.144117647058824,8.347058823529412
round_robin,1000,7.985279685966634,8.180569185475957,8.267909715407262,8.352306182531894
round_robin,1000,7.966568338249754,7.986234021632252,8.15732546705998,8.275319567354966
round_robin,1000,7.918128654970761,7.922027290448343,8.198830409356725,8.27972709551657
round_robin,1000,8.071850393700787,8.10236220472441,7.985236220472441,8.036417322834646
round_robin,1000,8.252704031465093,8.28023598820059,8.140609636184857,8.177974434611603
round_robin,1000,8.08529411764706,8.094117647058823,8.13921568627451,8.117647058823529
round_robin,1000,8.01764705882353,8.040196078431373,8.158823529411764,8.195098039215686
round_robin,1000,8.220804710500492,8.130520117762511,8.15603532875368,8.058881256133464
round_robin,1000,8.219488188976378,8.192913385826772,8.19783464566929,8.403543307086615
round_robin,1000,8.143700787401574,8.123031496062993,8.226377952755906,8.058070866141732
round_robin,1000,8.275319567354966,8.04031465093412,8.1976401179941,8.23795476892822
round_robin,1000,8.164544564152791,8.209598432908912,8.394711067580802,8.101860920666013
round_robin,1000,7.970443349753695,8.297536945812809,8.121182266009852,8.008866995073891
round_robin,1000,8.337944664031621,8.187747035573123,8.299407114624506,8.34189723320158
round_robin,1000,8.107177974434611,8.063913470993118,8.293018682399213,8.306784660766962
round_robin,1000,8.296551724137931,8.316256157635468,8.308374384236453,8.38128078817734
round_robin,1000,8.137795275590552,8.13976377952756,8.128937007874017,8.295275590551181
round_robin,1000,7.975417895771878,8.202556538839724,8.092428711897739,8.205506391347098
round_robin,1000,8.061825318940137,8.226692836113838,8.090284592737978,8.020608439646713
round_robin,1000,7.965618860510806,7.844793713163065,8.06483300589391,8.055009823182711
round_robin,1000,8.286699507389162,8.305418719211822,8.367487684729063,8.265024630541872
round_robin,1000,8.179133858267717,8.237204724409448,8.033464566929133,8.119094488188976
round_robin,1000,8.402163225172075,8.392330383480825,8.394296951819076,8.332350049164209
round_robin,1000,7.983349657198825,7.974534769833497,8.270323212536729,8.03330068560235
round_robin,1000,7.999014778325123,8.32807881773399,8.31231527093596,8.219704433497537
round_robin,1000,7.949654491609082,8.221125370187561,7.992102665350444,8.207305034550838
round_robin,1000,8.142436149312378,8.17681728880157,8.31532416502947,8.148330058939097
round_robin,1000,8.144400785854616,8.196463654223969,8.25638506876228,8.361493123772101
round_robin,1000,8.097249508840864,8.086444007858546,8.017681728880158,8.00196463654224
round_robin,1000,8.204343534057255,8.135241855873643,8.067127344521223,7.805528134254689
round_robin,1000,8.18467583497053,7.949901768172888,8.035363457760313,7.992141453831041
round_robin,1000,8.149901380670611,8.11439842209073,8.252465483234714,8.281065088757396
